,행정동코드,1월_외국인_총생활인구수,2월_외국인_총생활인구수,3월_외국인_총생활인구수,4월_외국인_총생활인구수,5월_외국인_총생활인구수,6월_외국인_총생활인구수,7월_외국인_총생활인구수,8월_외국인_총생활인구수,9월_외국인_총생활인구수,10월_외국인_총생활인구수,11월_외국인_총생활인구수,12월_외국인_총생활인구수,2021년_외국인_평균
75,11215840,166.8881,175.3902,76.5732,171.7479,140.7154,155.575,89.1659,158.6905,159.1627,103.8128,246.9014,153.8881,149.8759
76,11215847,572.029,441.2218,832.9861,662.1684,584.1046,673.0845,753.9593,595.7704,798.281,566.5561,583.2077,537.4149,633.3986
77,11215850,122.7399,104.1086,69.0181,61.2476,107.9837,79.811,64.4044,113.7571,128.4098,133.2992,277.1347,129.4263,115.945
78,11215860,24.0949,63.5555,64.9595,77.8187,37.4379,45.4956,61.6966,80.0621,63.2684,42.3898,29.262,57.6249,53.9721
79,11215870,92.9475,136.4424,88.2685,112.8833,95.0564,50.7142,217.9588,122.5708,103.3995,106.609,225.5048,203.2357,129.6326
80,11230536,268.6244,442.5699,253.6644,726.1504,230.0202,383.8049,338.8976,404.4387,463.3855,268.7667,409.7951,287.9287,373.1705
81,11230545,224.0074,531.7506,686.0986,728.5607,482.2512,619.8613,380.1333,979.3752,1292.6328,692.3323,495.7505,518.8616,635.968
82,11230560,465.9531,256.7848,216.4717,216.5612,82.4104,198.534,123.1791,609.9081,626.3947,138.173,261.6193,206.9153,283.5754
83,11230570,57.4335,34.8077,93.6324,88.0544,15.9134,82.0023,28.4711,26.4783,116.709,51.7951,46.2643,107.5324,62.4245
84,11230600,78.9518,94.7968,80.6503,173.9187,134.0349,131.6948,67.6622,98.5694,152.0105,124.6224,87.1365,68.2652,107.6928
85,11230610,57.1874,49.2432,94.7534,63.9729,96.9365,199.2769,120.3779,102.1669,109.8507,95.8245,126.2941,120.5975,103.0402
86,11230650,112.1171,104.4797,199.3113,138.1189,182.4495,231.4748,164.1284,306.6823,319.6319,254.1969,217.9069,183.1649,201.1385
87,11230660,33.3062,58.9621,146.9439,161.1662,58.3392,52.9749,50.2103,68.2344,81.9398,36.3508,106.7576,83.8531,78.2532
88,11230705,109.7,196.8647,188.1755,138.4766,126.1489,130.5294,218.032,149.5363,411.358,251.2332,185.549,145.091,187.5579
89,11230710,502.8534,539.8026,1001.3623,781.5742,632.8158,911.6595,448.3644,940.4228,1862.3606,1076.3341,628.4953,839.0518,847.0914
90,11230720,251.7731,412.9133,666.3915,663.5836,356.3301,661.6501,304.9236,693.3029,1044.5786,646.4871,508.6845,532.2424,561.9051
91,11230730,102.2925,236.6794,221.6717,125.9366,74.4044,91.9765,118.7054,228.5389,266.7759,233.1613,200.047,180.7016,173.4076
92,11230740,422.2232,732.7261,750.0537,410.9103,562.5569,650.023,473.5471,988.9562,1965.5585,722.6895,546.9965,496.0474,726.8574
93,11230750,62.1569,70.4088,124.612,64.183,82.0148,77.7949,23.6051,23.1561,46.6537,17.8001,8.5671,38.0366,53.2491
94,11260520,30.9276,56.7483,29.8771,58.2809,59.1094,58.7006,38.0896,44.8451,32.5453,33.9023,27.3173,55.5861,43.8275
95,11260540,82.52,107.0697,27.1098,45.5673,26.7762,31.2821,29.7969,36.487,44.4474,81.9779,47.3471,73.0353,52.7847
96,11260550,1.5063,79.1847,11.334,41.1376,9.6195,9.0493,29.8811,46.5572,50.7632,28.4524,28.3564,25.9203,30.1468
97,11260565,100.2993,51.7041,101.6156,62.0643,66.6395,68.9066,142.5454,81.0765,148.2146,230.3574,84.8549,83.3279,101.8005
98,11260570,18.0378,102.2594,38.8227,59.9942,54.6475,78.0774,52.5455,60.8997,40.0714,24.8908,63.6193,54.6179,54.0403
99,11260575,24.9377,51.0072,17.4175,16.8498,61.9241,46.2439,61.863,22.9636,31.7832,44.2735,19.4293,29.7014,35.6995
100,11260580,23.9918,13.6589,71.1711,16.1025,55.8737,43.3415,31.8663,21.7169,28.03,49.3793,18.2134,50.9119,35.3548
101,11260590,68.3716,19.6677,113.0685,82.5791,59.3636,105.151,69.2193,25.471,26.8398,60.8954,42.3441,42.5375,59.6257
102,11260600,41.7008,52.5293,38.7752,71.2394,7.0614,33.9433,26.8008,38.0024,39.9871,33.0425,11.4282,72.2762,38.8989
