,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
97,11170510,A,2110079,519176390,35761,14518,111346,6.701,7.6695,0.1304
98,11170510,A,2110080,171399081,11500,14904,111346,6.701,7.4709,0.1339
99,11170520,A,2110081,447043477,26332,16977,105874,6.359,6.2363,0.1604
100,11170530,A,2110074,853856363,49525,17241,96045,1.273,5.5707,0.1795
101,11170530,A,2110075,316914970,37909,8360,96045,1.273,11.4886,0.087
102,11170530,D,2120042,464501777,40210,11552,96045,1.273,8.3141,0.1203
103,11170530,D,2120045,1293217975,47997,26944,96045,1.273,3.5646,0.2805
104,11170555,A,2110066,525563157,45962,11435,116739,5.304,10.2089,0.098
105,11170555,A,2110067,205697718,17875,11508,116739,5.304,10.1442,0.0986
106,11170555,A,2110069,1012161751,103387,9790,116739,5.304,11.9243,0.0839
107,11170560,A,2110065,5135346,1014,5063,100217,10.984,19.794,0.0505
108,11170560,A,2110068,563027433,48833,11530,100217,10.984,8.6918,0.1151
109,11170560,A,2110072,525936647,13501,38954,100217,10.984,2.5727,0.3887
110,11170570,A,2110058,362623765,33231,10912,107159,10.296,9.8203,0.1018
111,11170570,D,2120040,1199953111,120448,9962,107159,10.296,10.7568,0.093
112,11170580,A,2110061,212120230,13930,15228,110244,3.597,7.2396,0.1381
113,11170580,A,2110064,180921855,15905,11375,110244,3.597,9.6918,0.1032
114,11170590,A,2110060,249973405,24768,10093,122271,3.776,12.1144,0.0825
115,11170590,A,2110063,402821561,20545,19607,122271,3.776,6.2361,0.1604
116,11170625,A,2110062,634333088,27939,22704,125704,7.725,5.5366,0.1806
117,11170625,A,2110070,98563251,1331,74052,125704,7.725,1.6975,0.5891
118,11170625,A,2110073,213071820,2418,88101,125704,7.725,1.4268,0.7009
119,11170625,A,2110076,205782388,8538,24101,125704,7.725,5.2157,0.1917
120,11170625,D,2120041,-2147483648,238853,14644,125704,7.725,8.584,0.1165
121,11170625,D,2120044,760865284,23492,32389,125704,7.725,3.8811,0.2577
122,11170630,A,2110071,356296034,24341,14638,212201,12.657,14.4966,0.069
123,11170630,A,2110078,256028403,23321,10979,212201,12.657,19.3279,0.0517
124,11170640,A,2110059,202692576,25254,8026,106504,0.443,13.2699,0.0754
125,11170650,A,2110082,381331612,18502,20610,161325,-0.534,7.8275,0.1278
126,11170650,A,2110086,221686195,6613,33522,161325,-0.534,4.8125,0.2078
127,11170650,A,2110087,446384132,47602,9377,161325,-0.534,17.2043,0.0581
128,11170650,D,2120046,-2147483648,185126,18639,161325,-0.534,8.6552,0.1155
129,11170660,A,2110084,567699654,23810,23843,142593,5.58,5.9805,0.1672
130,11170660,A,2110085,932407497,57869,16112,142593,5.58,8.8501,0.113
131,11170685,A,2110091,416340623,12938,32180,134208,1.432,4.1705,0.2398
132,11170685,A,2110093,467715772,18880,24773,134208,1.432,5.4175,0.1846
133,11170685,A,2110095,624510265,23659,26397,134208,1.432,5.0842,0.1967
134,11170685,A,2110096,180246486,17763,10147,134208,1.432,13.2264,0.0756
135,11170685,A,2110097,100670904,1339,75184,134208,1.432,1.7851,0.5602
136,11170685,A,2110098,907841039,10302,88120,134208,1.432,1.523,0.6566
137,11170685,A,2110099,225772240,3049,74042,134208,1.432,1.8126,0.5517
138,11170685,D,2120047,1782469885,77609,22967,134208,1.432,5.8435,0.1711
139,11170690,A,2110083,85930988,9886,8692,94385,-9.122,10.8588,0.0921
140,11170690,A,2110088,341363058,26553,12856,94385,-9.122,7.3417,0.1362
141,11170690,A,2110089,221879803,10570,20991,94385,-9.122,4.4965,0.2224
142,11170700,A,2110090,162636179,8043,20220,113260,9.974,5.6014,0.1785
143,11170700,A,2110092,198764853,19877,10000,113260,9.974,11.326,0.0883
144,11170700,A,2110094,337259086,6317,53392,113260,9.974,2.1213,0.4714
145,11200520,A,2110110,298144234,21087,14139,117743,20.689,8.3275,0.1201
146,11200535,A,2110114,255238032,5585,45703,129665,1.442,2.8371,0.3525
147,11200535,A,2110115,474944097,15759,30138,129665,1.442,4.3024,0.2324
148,11200540,A,2110116,395808632,11617,34072,120406,8.118,3.5339,0.283
149,11200540,A,2110117,104014674,3518,29564,120406,8.118,4.0727,0.2455
150,11200540,A,2110119,2904949,128,22739,120406,8.118,5.2951,0.1889
151,11200540,A,2110122,745897555,41222,18094,120406,8.118,6.6545,0.1503
152,11200540,A,2110123,749370114,39442,18999,120406,8.118,6.3375,0.1578
153,11200550,A,2110121,263674666,36633,7198,149461,14.552,20.7642,0.0482
154,11200550,A,2110125,260736682,31824,8193,149461,14.552,18.2425,0.0548
155,11200560,A,2110112,251442644,16154,15565,124133,-5.83,7.9751,0.1254
156,11200560,A,2110118,213608221,15070,14175,124133,-5.83,8.7572,0.1142
157,11200560,D,2120049,1615494335,140392,11507,124133,-5.83,10.7876,0.0927
158,11200580,A,2110113,92932643,8265,11244,117639,7.372,10.4624,0.0956
159,11200590,A,2110106,68735517,6421,10705,108198,-2.019,10.1072,0.0989
160,11200590,A,2110108,57637218,1775,32469,108198,-2.019,3.3323,0.3001
161,11200590,A,2110109,140656251,11834,11886,108198,-2.019,9.103,0.1099
162,11200615,A,2110104,147141585,12293,11969,120347,1.414,10.0549,0.0995
163,11200615,A,2110105,167249054,10811,15470,120347,1.414,7.7794,0.1285
164,11200620,A,2110103,21823436,2450,8908,127499,24.558,14.3129,0.0699
165,11200620,A,2110107,210823064,7351,28678,127499,24.558,4.4459,0.2249
166,11200620,D,2120048,387302287,24348,15907,127499,24.558,8.0153,0.1248
167,11200645,A,2110100,41185565,1070,38500,137023,-1.755,3.559,0.281
168,11200645,A,2110101,227434288,10948,20773,137023,-1.755,6.5962,0.1516
169,11200645,A,2110102,403143254,38148,10568,137023,-1.755,12.9658,0.0771
170,11200650,A,2110126,47446218,4502,10538,108204,10.298,10.268,0.0974
171,11200650,A,2110127,358639553,33634,10663,108204,10.298,10.1476,0.0985
172,11200650,A,2110128,440955111,33821,13038,108204,10.298,8.2991,0.1205
173,11200650,D,2120050,247620993,37923,6530,108204,10.298,16.5703,0.0603
174,11200660,A,2110120,149233680,21840,6833,143080,15.727,20.9396,0.0478
175,11200660,A,2110124,407623385,42126,9676,143080,15.727,14.7871,0.0676
176,11200660,A,2110129,118587879,8584,13816,143080,15.727,10.3561,0.0966
177,11200660,D,2120051,1905850139,137394,13871,143080,15.727,10.315,0.0969
178,11200670,A,2110131,912966834,65312,13978,106517,24.953,7.6203,0.1312
179,11200670,A,2110134,522660541,49705,10515,106517,24.953,10.13,0.0987
180,11200670,A,2110136,488810901,25299,19321,106517,24.953,5.513,0.1814
181,11200690,A,2110132,172091383,12922,13318,139716,18.579,10.4908,0.0953
182,11200690,A,2110137,1133858512,139347,8137,139716,18.579,17.1705,0.0582
183,11200690,D,2120052,-2147483648,202704,12388,139716,18.579,11.2783,0.0887
184,11200720,A,2110135,143102516,8868,16136,108868,14.271,6.7469,0.1482
185,11200720,A,2110138,233811328,27106,8626,108868,14.271,12.6209,0.0792
186,11200790,A,2110130,91040130,7527,12096,106008,6.839,8.7639,0.1141
187,11200790,A,2110133,238378583,7399,32217,106008,6.839,3.2904,0.3039
188,11215710,A,2110141,290664689,14657,19831,150233,7.017,7.5757,0.132
189,11215710,A,2110142,706469226,68870,10258,150233,7.017,14.6454,0.0683
190,11215710,A,2110144,105390426,9709,10855,150233,7.017,13.84,0.0723
191,11215710,A,2110148,206218279,24885,8287,150233,7.017,18.1288,0.0552
192,11215710,D,2120053,-2147483648,261857,14395,150233,7.017,10.4365,0.0958
193,11215710,D,2120054,1153399686,87034,13252,150233,7.017,11.3366,0.0882
194,11215730,A,2110145,197397797,25271,7811,105015,3.735,13.4445,0.0744
195,11215730,A,2110147,313088466,32334,9683,105015,3.735,10.8453,0.0922
196,11215730,A,2110149,112061964,4223,26538,105015,3.735,3.9572,0.2527
197,11215730,D,2120055,2124210011,137538,15445,105015,3.735,6.7993,0.1471
198,11215740,A,2110150,437831204,37732,11604,102751,13.083,8.8548,0.1129
199,11215740,A,2110152,212600730,14489,14673,102751,13.083,7.0027,0.1428
200,11215740,A,2110153,68713364,5152,13337,102751,13.083,7.7042,0.1298
201,11215750,A,2110162,150126611,16274,9225,89542,8.214,9.7064,0.103
202,11215750,A,2110165,291293800,21776,13377,89542,8.214,6.6937,0.1494
203,11215750,A,2110167,207692497,15113,13743,89542,8.214,6.5155,0.1535
204,11215760,A,2110158,349645755,31174,11216,100432,18.114,8.9544,0.1117
205,11215760,A,2110161,367105854,35704,10282,100432,18.114,9.7677,0.1024
206,11215770,A,2110168,173665796,16596,10464,96141,1.273,9.1878,0.1088
207,11215770,A,2110171,268885459,30991,8676,96141,1.273,11.0813,0.0902
208,11215770,A,2110174,346773298,23154,14977,96141,1.273,6.4192,0.1558
209,11215770,A,2110176,234902928,23423,10029,96141,1.273,9.5863,0.1043
210,11215780,A,2110156,412814537,33072,12482,111908,-0.9,8.9656,0.1115
211,11215780,A,2110164,143077692,21043,6799,111908,-0.9,16.4595,0.0608
212,11215780,D,2120057,1015835807,93377,10879,111908,-0.9,10.2866,0.0972
213,11215810,A,2110178,176468767,14140,12480,115164,1.51,9.2279,0.1084
214,11215810,A,2110179,444645004,38870,11439,115164,1.51,10.0677,0.0993
215,11215810,A,2110180,654391931,39732,16470,115164,1.51,6.9923,0.143
216,11215820,A,2110154,310490297,25790,12039,121519,3.276,10.0938,0.0991
217,11215820,A,2110155,319976459,39769,8046,121519,3.276,15.103,0.0662
218,11215820,A,2110159,539495572,55661,9692,121519,3.276,12.5381,0.0798
219,11215830,A,2110151,671875762,47148,14250,98710,4.392,6.927,0.1444
220,11215830,A,2110157,151577858,15165,9995,98710,4.392,9.8759,0.1013
221,11215830,A,2110163,241938730,20014,12088,98710,4.392,8.1659,0.1225
222,11215830,A,2110169,169884021,22203,7651,98710,4.392,12.9016,0.0775
223,11215840,A,2110143,64672744,5574,11602,103750,-10.472,8.9424,0.1118
224,11215840,A,2110146,218198632,16721,13049,103750,-10.472,7.9508,0.1258
225,11215847,A,2110139,375968620,34914,10768,123536,1.055,11.4725,0.0872
226,11215847,A,2110140,1034889618,65697,15753,123536,1.055,7.8421,0.1275
227,11215850,A,2110160,136255966,17297,7877,94102,2.681,11.9464,0.0837
