,행정동코드,1월_2030여성비율,2월_2030여성비율,3월_2030여성비율,4월_2030여성비율,5월_2030여성비율,6월_2030여성비율,7월_2030여성비율,8월_2030여성비율,9월_2030여성비율,10월_2030여성비율,11월_2030여성비율,12월_2030여성비율,2021년_2030여성_비율평균
70,11215770,3.8819,3.8219,3.8008,3.7918,3.8173,3.767,3.8288,3.7748,3.6667,3.706,3.6386,3.6791,3.7646
71,11215780,5.5866,5.4141,5.4688,5.5301,5.4802,5.4154,5.4549,5.4384,5.3733,5.4984,5.4152,5.4999,5.4646
72,11215810,3.1366,3.1139,3.1045,3.0944,3.1005,3.1125,3.1474,3.131,3.0737,3.0797,3.0691,3.1036,3.1056
73,11215820,4.9822,4.9019,5.0378,5.0319,4.9729,5.0069,5.0336,5.0136,4.964,5.0802,5.0717,5.1021,5.0166
74,11215830,4.2063,4.161,4.234,4.2221,4.2313,4.1961,4.2214,4.1951,4.177,4.225,4.1275,4.1146,4.1926
75,11215840,4.2277,4.1884,4.243,4.2516,4.2273,4.2432,4.2329,4.1881,4.1706,4.1869,4.1742,4.1656,4.2083
76,11215847,4.742,4.7606,4.9204,5.007,4.9767,5.0388,4.8599,4.8061,4.9095,4.9806,5.0142,4.9432,4.9132
77,11215850,5.0329,4.8941,4.9435,4.9188,4.9453,4.9727,4.9975,4.9655,4.8461,4.9532,4.8896,4.9197,4.9399
78,11215860,3.7357,3.7474,3.7954,3.809,3.7582,3.7306,3.7827,3.7551,3.6715,3.7402,3.6767,3.6789,3.7401
79,11215870,3.8496,3.7814,3.8077,3.8189,3.8191,3.8155,3.8551,3.8205,3.815,3.854,3.8383,3.8229,3.8248
80,11230536,4.4646,4.3625,4.4379,4.4659,4.4812,4.5007,4.5255,4.4723,4.436,4.5515,4.5251,4.5298,4.4794
81,11230545,3.7578,3.6853,3.79,3.8183,3.8779,3.8649,3.8863,3.957,3.925,4.0397,4.0337,4.0672,3.8919
82,11230560,3.9667,3.9367,3.9713,4.0059,4.0217,4.0417,4.0772,4.0856,4.0467,4.1505,4.1566,4.2239,4.057
83,11230570,3.3501,3.3025,3.4028,3.4551,3.4608,3.4655,3.3631,3.2908,3.3572,3.3915,3.417,3.3926,3.3874
84,11230600,4.0438,3.9657,4.0731,4.0956,4.0869,4.1066,4.1209,4.1088,4.1028,4.1353,4.0596,4.0126,4.076
85,11230610,3.5424,3.4829,3.5739,3.6054,3.5778,3.5764,3.5922,3.5685,3.5611,3.5304,3.4917,3.5002,3.5502
86,11230650,4.2433,4.2059,4.2849,4.303,4.261,4.2202,4.2809,4.3323,4.2825,4.3368,4.3328,4.2881,4.281
87,11230660,3.5905,3.5277,3.5826,3.5646,3.594,3.5888,3.6156,3.5846,3.6115,3.6317,3.6054,3.5894,3.5905
88,11230705,3.2556,3.2003,3.2408,3.1904,3.2452,3.2385,3.254,3.2767,3.257,3.3104,3.3517,3.3898,3.2675
89,11230710,5.8465,5.6903,5.8807,5.959,6.0866,6.1715,6.1778,6.1877,6.1954,6.4702,6.5637,6.6611,6.1575
90,11230720,5.548,5.4512,5.6873,5.7082,5.7131,5.7492,5.7691,5.7932,5.8227,6.0627,6.1339,6.2543,5.8077
91,11230730,4.2796,4.2267,4.3308,4.3549,4.3664,4.3542,4.3706,4.3698,4.4035,4.544,4.5511,4.5759,4.394
92,11230740,5.7304,5.5172,5.7241,5.8196,5.9138,5.9443,5.7886,5.826,5.9586,6.281,6.6077,6.6383,5.9791
93,11230750,3.4407,3.3903,3.44,3.4825,3.5094,3.5115,3.5179,3.4888,3.5203,3.5661,3.541,3.5053,3.4928
94,11260520,3.4675,3.3511,3.3661,3.3404,3.3525,3.3391,3.3133,3.2809,3.3064,3.3086,3.2247,3.2107,3.3218
95,11260540,3.5154,3.4574,3.4493,3.4996,3.4886,3.5128,3.5057,3.4697,3.4157,3.453,3.3446,3.3427,3.4545
96,11260550,3.6366,3.6349,3.7057,3.688,3.7447,3.5152,3.5078,3.5039,3.496,3.6118,3.5749,3.5708,3.5992
97,11260565,3.8244,3.762,3.8478,3.8568,3.8463,3.8603,3.9382,3.9434,3.9351,3.9506,3.8681,3.8724,3.8755
98,11260570,3.6304,3.5679,3.6084,3.6217,3.6139,3.5894,3.6226,3.6315,3.5953,3.5876,3.4771,3.4689,3.5846
99,11260575,3.6957,3.659,3.6955,3.7137,3.6663,3.6745,3.6972,3.6731,3.6826,3.6844,3.6907,3.659,3.6826
100,11260580,4.0339,4.0099,4.0621,4.0347,4.0381,4.0438,4.1465,4.1126,4.0691,4.1005,3.9662,3.9482,4.0471
