,행정동코드,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,행정동명
255,11530595,0,0,0,11,가리봉동
256,11530720,0,0,0,8,고척1동
257,11530730,0,0,0,32,고척2동
258,11530740,0,0,1,18,개봉1동
259,11530750,0,0,0,5,개봉2동
260,11530760,0,0,0,26,개봉3동
261,11530770,0,0,1,16,오류1동
262,11530780,0,0,1,22,오류2동
263,11530790,0,0,3,43,수궁동
264,11545510,0,0,2,97,가산동
265,11545610,0,0,1,51,독산1동
266,11545620,0,0,0,4,독산2동
267,11545630,0,0,0,14,독산3동
268,11545640,0,0,0,8,독산4동
269,11545670,0,0,1,25,시흥1동
270,11545680,0,0,0,6,시흥2동
271,11545690,0,0,0,11,시흥3동
272,11545700,0,0,0,15,시흥4동
273,11545710,0,0,0,21,시흥5동
274,11560515,0,0,0,5,영등포본동
275,11560535,0,0,1,25,영등포동
276,11560540,0,0,3,26,여의동
277,11560550,0,0,0,13,당산1동
278,11560560,0,0,2,22,당산2동
279,11560585,0,0,0,13,도림동
280,11560605,0,0,1,19,문래동
281,11560610,0,0,0,6,양평1동
282,11560620,0,0,1,20,양평2동
283,11560630,0,0,1,21,신길1동
284,11560650,0,0,0,8,신길3동
285,11560660,0,0,0,3,신길4동
286,11560670,0,0,0,19,신길5동
287,11560680,0,0,1,15,신길6동
288,11560690,0,0,0,14,신길7동
289,11560700,0,0,0,9,대림1동
290,11560710,0,0,1,8,대림2동
291,11560720,0,0,2,37,대림3동
292,11590510,0,0,2,25,노량진1동
293,11590520,0,0,0,5,노량진2동
294,11590530,0,0,2,21,상도1동
295,11590540,0,0,1,23,상도2동
296,11590550,0,0,0,15,상도3동
297,11590560,0,0,0,5,상도4동
298,11590605,0,0,0,7,흑석동
299,11590620,0,0,0,5,사당1동
300,11590630,0,0,2,18,사당2동
301,11590640,0,0,0,10,사당3동
302,11590650,0,0,0,3,사당4동
303,11590651,0,0,0,10,사당5동
304,11590660,0,0,2,42,대방동
305,11590670,0,0,1,10,신대방1동
306,11590680,0,0,0,16,신대방2동
307,11620525,0,0,0,10,보라매동
308,11620545,0,0,0,3,청림동
309,11620565,0,0,0,1,성현동
310,11620575,0,0,0,3,행운동
311,11620585,0,0,0,4,낙성대동
312,11620595,0,0,1,13,청룡동
313,11620605,0,0,0,1,은천동
314,11620615,0,0,0,8,중앙동
315,11620625,0,0,0,9,인헌동
316,11620630,0,0,0,2,남현동
317,11620645,0,0,0,3,서원동
318,11620655,0,0,0,5,신원동
319,11620665,0,0,0,23,서림동
320,11620685,0,0,0,11,신사동(관악구)
321,11620695,0,0,1,15,신림동
322,11620715,0,0,0,8,난향동
323,11620725,0,0,0,12,조원동
324,11620735,0,0,0,16,대학동
325,11620745,0,0,0,13,삼성동
326,11620765,0,0,0,30,미성동
327,11620775,0,0,0,18,난곡동
328,11650510,0,1,3,45,서초1동
329,11650520,0,0,4,51,서초2동
330,11650530,0,0,1,40,서초3동
331,11650540,0,0,2,12,잠원동
332,11650550,0,0,0,0,반포본동
333,11650560,0,0,0,3,반포1동
334,11650581,0,0,3,27,반포4동
335,11650590,0,0,0,9,방배본동
336,11650600,0,0,1,18,방배1동
337,11650610,0,0,2,13,방배2동
338,11650620,0,0,0,15,방배3동
339,11650621,0,0,1,23,방배4동
340,11650651,0,0,0,21,양재1동
341,11650652,0,0,0,41,양재2동
342,11650660,0,0,0,12,내곡동
343,11680510,0,0,1,9,신사동(강남구)
344,11680521,0,0,3,28,논현1동
345,11680531,0,0,3,25,논현2동
346,11680545,0,0,1,22,압구정동
347,11680565,0,0,0,24,청담동
348,11680580,0,0,1,13,삼성1동
349,11680590,0,0,5,38,삼성2동
350,11680600,0,0,0,7,대치1동
351,11680610,0,0,1,29,대치2동
352,11680630,0,0,1,18,대치4동
353,11680640,0,0,1,47,역삼1동
354,11680650,0,0,0,10,역삼2동
355,11680655,0,0,1,2,도곡1동
356,11680656,0,0,0,11,도곡2동
357,11680660,0,0,0,2,개포1동
358,11680670,0,0,0,4,개포2동
359,11680690,0,0,0,5,개포4동
360,11680700,0,0,0,18,세곡동
361,11680730,0,0,0,12,일원1동
362,11680750,0,0,2,6,수서동
363,11710510,0,0,1,6,풍납1동
364,11710531,0,0,0,2,거여1동
365,11710532,0,0,1,5,거여2동
366,11710540,0,0,0,8,마천1동
367,11710550,0,0,0,3,마천2동
368,11710561,0,0,1,8,방이1동
369,11710562,0,0,0,12,방이2동
370,11710566,0,0,0,0,오륜동
371,11710570,0,0,0,13,오금동
372,11710580,0,0,2,16,송파1동
373,11710590,0,0,0,0,송파2동
374,11710600,0,0,1,11,석촌동
375,11710610,0,0,1,15,삼전동
376,11710620,0,0,3,20,가락본동
377,11710631,0,0,2,7,가락1동
378,11710632,0,0,0,4,가락2동
379,11710641,0,0,0,9,문정1동
380,11710642,0,0,2,9,문정2동
381,11710646,0,0,0,4,장지동
382,11710647,0,0,1,27,위례동
383,11710650,0,0,2,14,잠실본동
384,11710690,0,0,1,0,잠실4동
385,11710710,0,0,2,11,잠실6동
386,11740515,0,0,0,4,강일동
387,11740520,0,0,0,3,상일동
388,11740530,0,0,1,15,명일1동
389,11740540,0,0,1,7,명일2동
390,11740550,0,0,0,4,고덕1동
391,11740560,0,0,0,7,고덕2동
392,11740570,0,0,0,5,암사1동
393,11740580,0,0,1,10,암사2동
394,11740600,0,0,1,8,천호1동
395,11740610,0,0,2,21,천호2동
396,11740620,0,0,0,2,천호3동
397,11740640,0,0,1,15,성내1동
398,11740650,0,0,1,7,성내2동
399,11740660,0,0,1,11,성내3동
400,11740685,0,0,1,25,길동
401,11740700,0,0,0,10,둔촌2동
402,11710670,0,0,2,2,잠실2동
403,11290580,0,0,1,15,돈암1동
404,11290590,0,0,0,35,돈암2동
405,11350621,0,0,0,20,중계1동
406,11530520,0,0,1,22,구로1동
407,11470670,0,0,0,21,신정6동
408,11410655,0,0,1,10,홍제2동
409,11200570,0,0,1,25,행당2동
410,11350700,0,0,0,12,상계8동
411,11740590,0,0,0,17,암사3동
412,11500604,0,0,1,12,가양2동
413,11740690,0,0,2,9,둔촌1동
414,11650570,0,0,1,19,반포2동
415,11350612,0,0,1,18,하계2동
416,11350580,0,0,1,14,월계3동
417,11710680,0,0,2,16,잠실3동
418,11710720,0,0,1,3,잠실7동
419,11650580,0,0,2,20,반포3동
420,11710520,0,0,1,20,풍납2동
421,11650531,0,0,3,26,서초4동
422,11680740,0,0,2,12,일원2동
423,11680720,0,0,1,20,일원본동
