,행정동_코드,행정동명,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료,개업률_평균,폐업률_평균,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율,2021년_2030여성_비율평균,2021년_외국인_평균,문화시설수,지하철_역_수,버스_정거장_수,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
38,11110650,혜화동,A,2110022,231633318,28270,8194,125751,-3.9,15.3467,0.0652,3.9348,1.022,767,1.12,684.8214285714286,163,669,0.195913462,0.0573,1060.7929,53,1,27,8,7,0.875
39,11110650,혜화동,A,2110024,326803116,16135,20255,125751,-3.9,6.2084,0.1611,3.6239,0.7292,767,1.12,684.8214285714286,163,669,0.195913462,0.0573,1060.7929,53,1,27,15,13,0.8667
40,11110650,혜화동,D,2120012,-2147483648,208642,15926,125751,-3.9,7.896,0.1266,2.8333,4.0555,767,1.12,684.8214285714286,163,669,0.195913462,0.0573,1060.7929,53,1,27,163,108,0.6626
41,11110670,창신1동,A,2110032,61556194,2008,30650,177247,3.301,5.7829,0.1729,3.3333,10.4722,545,0.31,1758.0645161290322,31,139,0.182352941,0.0362,87.4974,2,2,8,1,1,1.0
42,11110670,창신1동,D,2120016,487798473,34685,14064,177247,3.301,12.6029,0.0793,5.4498,5.8916,545,0.31,1758.0645161290322,31,139,0.182352941,0.0362,87.4974,2,2,8,11,7,0.6364
43,11110670,창신1동,D,2120017,583427604,58608,9955,177247,3.301,17.8048,0.0562,1.6019,3.125,545,0.31,1758.0645161290322,31,139,0.182352941,0.0362,87.4974,2,2,8,11,6,0.5455
44,11110680,창신2동,A,2110029,203759620,16951,12020,103760,12.833,8.6323,0.1158,7.5752,6.5606,202,0.26,776.9230769230769,5,42,0.106382979,0.0358,100.6688,2,0,0,8,8,1.0
45,11110690,창신3동,A,2110031,100538912,8323,12080,90330,-7.498,7.4776,0.1337,2.1333,3.7167,92,0.23,400.0,3,9,0.25,0.0362,27.3898,0,1,4,4,3,0.75
46,11110700,숭인1동,A,2110033,400299900,43369,9230,86529,1.529,9.3748,0.1067,3.2639,1.9444,169,0.23,734.7826086956521,3,15,0.166666667,0.0379,59.1979,0,0,4,3,2,0.6667
47,11110710,숭인2동,A,2110035,169109794,16908,10002,128484,19.421,12.8458,0.0778,4.289,2.7171,543,0.35,1551.4285714285716,15,92,0.140186916,0.0453,287.8663,0,0,3,9,4,0.4444
48,11110710,숭인2동,A,2110036,267861681,28571,9375,128484,19.421,13.705,0.073,2.7709,1.3854,543,0.35,1551.4285714285716,15,92,0.140186916,0.0453,287.8663,0,0,3,4,4,1.0
49,11110710,숭인2동,A,2110037,352220052,39099,9008,128484,19.421,14.2633,0.0701,5.1627,4.9583,543,0.35,1551.4285714285716,15,92,0.140186916,0.0453,287.8663,0,0,3,1,1,1.0
50,11140520,소공동,A,2110038,580563188,45810,12673,148930,-0.14,11.7518,0.0851,3.1019,4.0185,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,14,7,0.5
51,11140520,소공동,D,2120019,1017972896,87145,11681,148930,-0.14,12.7498,0.0784,4.0603,3.157,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,21,10,0.4762
52,11140520,소공동,D,2120020,1045288897,81370,12846,148930,-0.14,11.5935,0.0863,4.6759,3.5463,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,35,18,0.5143
53,11140520,소공동,D,2120021,2077993358,146301,14204,148930,-0.14,10.4851,0.0954,4.1482,4.0833,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,55,33,0.6
54,11140520,소공동,D,2120022,-2147483648,124214,23642,148930,-0.14,6.2994,0.1587,1.9352,3.4259,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,41,20,0.4878
55,11140520,소공동,D,2120025,432180606,39592,10916,148930,-0.14,13.6433,0.0733,1.2708,3.3646,1446,0.95,1522.1052631578948,186,571,0.245706737,0.0536,2131.2939,49,2,26,22,16,0.7273
56,11140540,회현동,A,2110039,38307020,2569,14910,312666,0.811,20.9702,0.0477,7.3796,3.787,2421,0.84,2882.1428571428573,127,347,0.267932489,0.0483,1151.2176,10,6,30,3,2,0.6667
57,11140540,회현동,A,2110040,174257043,14724,11835,312666,0.811,26.4188,0.0379,3.0958,1.9558,2421,0.84,2882.1428571428573,127,347,0.267932489,0.0483,1151.2176,10,6,30,4,4,1.0
