행정동_코드,프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
11620625,15,68,0.180722892
11620630,18,74,0.195652174
11620645,14,39,0.264150943
11620655,17,63,0.2125
11620665,22,142,0.134146341
11620685,42,167,0.200956938
11620695,147,449,0.246644295
11620715,3,11,0.214285714
11620725,27,135,0.166666667
11620735,80,379,0.174291939
11620745,12,58,0.171428571
11620765,36,114,0.24
11620775,34,99,0.255639098
11650510,217,782,0.217217217
11650520,430,1311,0.246984492
11650530,162,621,0.206896552
11650540,76,463,0.141001855
11650550,5,29,0.147058824
11650560,23,117,0.164285714
11650581,98,372,0.208510638
11650590,41,221,0.15648855
11650600,80,219,0.267558528
11650610,118,450,0.207746479
11650620,7,29,0.194444444
11650621,35,243,0.125899281
11650651,51,365,0.122596154
11650652,138,598,0.1875
11650660,2,31,0.060606061
11680510,164,755,0.178454842
11680521,256,1144,0.182857143
11680531,166,740,0.183222958
11680545,175,1382,0.112395633
11680565,110,498,0.180921053
11680580,102,207,0.330097087
11680590,377,1370,0.215798512
11680600,26,78,0.25
11680610,105,296,0.261845387
11680630,153,432,0.261538462
11680640,426,1803,0.191117093
11680650,22,145,0.131736527
11680655,6,15,0.285714286
11680656,37,171,0.177884615
11680670,9,36,0.2
11680690,22,102,0.177419355
11680700,47,82,0.364341085
11680730,44,128,0.255813953
11680750,60,102,0.37037037
11710510,1,2,0.333333333
11710531,10,57,0.149253731
11710532,30,76,0.283018868
11710540,19,128,0.129251701
11710550,16,56,0.222222222
11710561,62,252,0.197452229
11710562,122,517,0.190923318
11710570,50,211,0.191570881
11710580,85,468,0.153707052
11710590,6,21,0.222222222
11710600,62,285,0.178674352
11710610,72,279,0.205128205
11710620,165,547,0.231741573
11710631,10,124,0.074626866
11710632,27,128,0.174193548
11710641,21,149,0.123529412
11710642,205,605,0.25308642
11710646,19,98,0.162393162
11710647,0,6,0
11710650,185,613,0.231829574
11710690,2,16,0.111111111
11710710,127,342,0.270788913
11740515,13,23,0.361111111
11740520,15,148,0.09202454
11740530,59,201,0.226923077
11740540,72,134,0.349514563
11740550,16,58,0.216216216
11740560,13,75,0.147727273
11740570,21,166,0.112299465
11740580,43,106,0.288590604
11740600,61,169,0.265217391
11740610,117,544,0.177004539
11740620,10,46,0.178571429
11740640,55,257,0.176282051
11740650,32,203,0.136170213
11740660,65,372,0.148741419
11740685,140,548,0.203488372
11740700,23,146,0.136094675
