,상권_코드,개업률_평균,폐업률_평균
465,2110467,6.4301,3.4806
466,2110468,4.9537,5.4444
467,2110469,5.4907,4.4815
468,2110470,4.3245,3.7059
469,2110471,4.5833,2.6459
470,2110472,3.9444,2.4074
471,2110473,5.5833,6.2917
472,2110474,7.6769,4.7392
473,2110475,7.1313,2.5203
474,2110476,5.0555,4.6825
475,2110477,2.2604,4.375
476,2110478,7.3034,3.6574
477,2110479,7.889,7.0507
478,2110480,1.4697,4.9061
479,2110481,3.3715,4.1137
480,2110482,8.7206,5.2977
481,2110483,4.0937,2.5232
482,2110484,5.2074,5.7785
483,2110485,2.375,2.9687
484,2110486,5.2418,4.5571
485,2110487,5.1362,0.6775
486,2110488,5.7802,6.557
487,2110489,10.1031,4.8503
488,2110490,2.8833,4.9
489,2110491,2.8667,4.4167
490,2110492,9.6877,2.2842
491,2110493,6.3622,3.9739
492,2110494,0.0,0.0
493,2110495,5.7146,6.2113
494,2110496,5.6018,5.7871
495,2110497,3.7442,3.6386
496,2110498,4.1785,3.3334
497,2110499,2.1801,4.6607
498,2110500,1.375,2.0833
499,2110501,2.425,3.75
500,2110502,4.1835,3.7014
501,2110503,6.3796,4.5648
502,2110504,6.6667,0.0
503,2110505,6.6138,0.7857
504,2110506,7.3198,2.7313
505,2110507,3.8518,2.9722
506,2110508,4.7016,3.2635
507,2110509,4.3796,4.9722
508,2110510,4.1891,5.296
509,2110511,4.012,5.1055
510,2110512,2.3414,1.7619
511,2110513,3.0903,2.4989
512,2110514,3.0682,2.6982
513,2110515,3.6945,3.6944
514,2110516,7.5694,0.0
515,2110517,1.9683,1.5968
516,2110518,2.4608,1.9608
517,2110519,2.7217,4.879
518,2110520,3.0066,3.5287
519,2110521,2.1217,2.545
520,2110522,4.9418,1.9981
521,2110523,3.6945,1.3889
522,2110524,2.4907,4.4815
523,2110525,4.4048,2.2381
524,2110526,3.2503,2.0241
525,2110527,2.8426,1.9167
526,2110528,1.8519,2.6481
527,2110529,5.7097,2.4559
528,2110530,6.1616,1.5241
529,2110531,3.3333,0.0
530,2110532,0.8472,1.8055
531,2110533,16.6667,0.0
532,2110534,0.5714,2.821
533,2110535,1.8,2.2167
534,2110536,4.227,1.2802
535,2110537,2.4908,3.6945
536,2110538,5.8323,5.1946
537,2110539,3.8336,3.4538
538,2110540,4.2227,5.3333
539,2110541,5.842,4.6466
540,2110542,4.2402,5.3174
541,2110543,3.7375,2.2167
542,2110544,5.7037,4.6111
543,2110545,4.4815,3.8426
544,2110546,3.5,2.7619
545,2110547,7.3704,6.6852
546,2110548,3.6103,2.6638
547,2110549,4.3333,5.5417
548,2110550,3.5926,3.7037
549,2110551,4.8146,4.5687
550,2110552,6.2823,4.105
551,2110553,5.6424,5.4196
552,2110554,5.7592,7.7315
553,2110555,5.3386,2.4663
554,2110556,12.3293,0.0
555,2110557,5.5741,4.9444
556,2110558,7.1852,5.2222
557,2110559,5.531,4.2554
558,2110560,1.3437,2.5
559,2110561,4.213,5.3333
560,2110562,5.8796,4.6019
561,2110563,4.4524,3.6667
562,2110564,6.3519,6.4166
563,2110565,2.6892,3.372
564,2110566,4.6111,5.4352
565,2110567,4.75,3.7411
566,2110568,6.1378,4.6261
