,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
1134,2120116,14,10,0.7143
1135,2120117,3,2,0.6667
1136,2120118,78,52,0.6667
1137,2120119,162,112,0.6914
1138,2120120,34,15,0.4412
1139,2120121,20,9,0.45
1140,2120122,30,16,0.5333
1141,2120123,9,5,0.5556
1142,2120124,27,19,0.7037
1143,2120125,47,32,0.6809
1144,2120126,1,1,1.0
1145,2120127,21,14,0.6667
1146,2120128,67,31,0.4627
1147,2120129,112,57,0.5089
1148,2120130,29,15,0.5172
1149,2120131,279,151,0.5412
1150,2120132,45,23,0.5111
1151,2120133,16,8,0.5
1152,2120134,24,15,0.625
1153,2120135,11,8,0.7273
1154,2120136,61,41,0.6721
1155,2120137,14,7,0.5
1156,2120138,30,21,0.7
1157,2120139,17,11,0.6471
1158,2120140,29,15,0.5172
1159,2120141,12,12,1.0
1160,2120142,19,10,0.5263
1161,2120143,42,22,0.5238
1162,2120144,16,10,0.625
1163,2120145,91,48,0.5275
1164,2120146,13,8,0.6154
1165,2120147,19,12,0.6316
1166,2120148,102,52,0.5098
1167,2120149,225,129,0.5733
1168,2120150,10,5,0.5
1169,2120151,45,27,0.6
1170,2120152,20,11,0.55
1171,2120153,102,78,0.7647
1172,2120154,14,8,0.5714
1173,2120155,3,3,1.0
1174,2120156,78,54,0.6923
1175,2120157,64,31,0.4844
1176,2120158,48,28,0.5833
1177,2120159,64,37,0.5781
1178,2120160,82,54,0.6585
1179,2120161,5,5,1.0
1180,2120162,30,19,0.6333
1181,2120163,7,7,1.0
1182,2120164,52,41,0.7885
1183,2120165,33,27,0.8182
1184,2120166,60,34,0.5667
1185,2120167,52,30,0.5769
1186,2120168,11,6,0.5455
1187,2120169,80,57,0.7125
1188,2120170,24,11,0.4583
1189,2120171,39,31,0.7949
1190,2120172,38,26,0.6842
1191,2120173,143,86,0.6014
1192,2120174,3,2,0.6667
1193,2120175,62,48,0.7742
1194,2120176,10,9,0.9
1195,2120177,22,19,0.8636
1196,2120178,87,68,0.7816
1197,2120179,98,50,0.5102
1198,2120180,10,7,0.7
1199,2120181,26,22,0.8462
1200,2120182,30,18,0.6
1201,2120183,17,16,0.9412
1202,2120184,60,45,0.75
1203,2120185,79,48,0.6076
1204,2120186,153,123,0.8039
1205,2120187,129,91,0.7054
1206,2120188,88,46,0.5227
1207,2120189,278,140,0.5036
1208,2120190,60,49,0.8167
1209,2120191,59,44,0.7458
1210,2120192,101,77,0.7624
1211,2120193,33,22,0.6667
1212,2120194,58,49,0.8448
1213,2120195,35,27,0.7714
1214,2120196,32,21,0.6562
1215,2120197,186,124,0.6667
1216,2120198,61,48,0.7869
1217,2120199,23,18,0.7826
1218,2120200,62,50,0.8065
1219,2120201,24,15,0.625
1220,2120202,73,51,0.6986
1221,2120203,75,53,0.7067
1222,2120204,43,28,0.6512
1223,2120205,33,23,0.697
1224,2120206,39,34,0.8718
1225,2120207,62,46,0.7419
1226,2120208,65,46,0.7077
1227,2120209,34,22,0.6471
1228,2120210,139,83,0.5971
1229,2120211,23,17,0.7391
1230,2120212,44,24,0.5455
1231,2120213,50,41,0.82
1232,2120214,17,12,0.7059
1233,2120215,118,72,0.6102
1234,2120216,9,2,0.2222
1235,2120217,20,17,0.85
1236,2120218,35,16,0.4571
1237,2120219,36,20,0.5556
1238,2120220,28,17,0.6071
1239,2120221,46,16,0.3478
1240,2120222,95,46,0.4842
1241,2120223,11,8,0.7273
1242,2120224,45,18,0.4
1243,2120225,100,71,0.71
