,행정동코드,행정동명,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
177,11320690,방학1동,1009,0.69,1462.3188405797102,66,393,0.14379085
178,11290705,종암동,880,1.46,602.7397260273973,52,196,0.209677419
179,11680720,일원본동,277,2.58,107.36434108527132,43,234,0.1552346570397112
180,11305535,미아동,705,0.93,758.0645161290322,51,290,0.149560117
181,11380650,수색동,243,1.29,188.37209302325581,1,1,0.5
182,11305625,수유2동,720,0.57,1263.1578947368423,20,106,0.158730159
183,11650570,반포2동,228,1.35,168.88888888888889,28,200,0.12280701754385964
184,11170590,용문동,337,0.28,1203.5714285714284,12,83,0.126315789
185,11410565,충현동,801,1.12,715.1785714285713,44,181,0.195555556
186,11230536,용신동,1223,1.61,759.6273291925465,102,523,0.1632
187,11590640,사당3동,428,0.92,465.2173913043478,10,38,0.208333333
188,11500640,방화2동,854,6.41,133.22932917316692,37,126,0.226993865
189,11305575,삼각산동,329,0.62,530.6451612903226,7,15,0.318181818
190,11440585,도화동,725,0.62,1169.3548387096773,0,16,0.0
191,11350612,하계2동,141,0.51,276.4705882352941,19,122,0.1347517730496454
192,11650560,반포1동,771,1,771.0,23,117,0.164285714
193,11410555,북아현동,425,0.46,923.9130434782609,2,39,0.048780488
194,11380530,불광2동,637,1.38,461.59420289855075,52,240,0.178082192
195,11350630,상계1동,917,5.62,163.16725978647688,67,239,0.218954248
196,11380520,불광1동,668,3.13,213.4185303514377,5,24,0.172413793
197,11350611,하계1동,385,1.55,248.38709677419354,11,45,0.196428571
198,11650660,내곡동,355,12.68,27.99684542586751,2,31,0.060606061
199,11440655,서강동,944,1.45,651.0344827586207,45,345,0.115384615
200,11680730,일원1동,406,0.92,441.30434782608694,44,128,0.255813953
201,11320700,방학2동,502,0.74,678.3783783783784,23,107,0.176923077
202,11230750,이문2동,305,0.69,442.02898550724643,50,255,0.16393442622950818
203,11350670,상계5동,680,1.01,673.2673267326733,19,154,0.10982659
204,11710650,잠실본동,1325,0.94,1409.5744680851064,185,613,0.231829574
205,11140635,약수동,480,0.48,1000.0,2,17,0.105263158
206,11560690,신길7동,220,0.64,343.75,14,78,0.152173913
207,11680521,논현1동,1953,1.25,1562.4,256,1144,0.182857143
208,11470650,신정4동,1319,1.01,1305.9405940594058,99,431,0.186792453
209,11110530,사직동,1081,1.23,878.8617886178862,139,885,0.135742188
210,11500510,염창동,740,1.74,425.28735632183907,8,22,0.266666667
211,11680670,개포2동,452,2.51,180.07968127490042,9,36,0.2
212,11620565,성현동,323,0.68,474.99999999999994,4,23,0.148148148
213,11290555,삼선동,857,0.92,931.5217391304348,56,322,0.148148148
214,11530530,구로2동,1468,1.76,834.0909090909091,67,532,0.111853088
215,11710620,가락본동,1155,1.13,1022.1238938053099,165,547,0.231741573
216,11590650,사당4동,299,0.38,786.8421052631579,16,52,0.235294118
217,11740685,길동,1700,2.17,783.4101382488479,140,548,0.203488372
218,11320511,창1동,451,0.88,512.5,11,46,0.192982456
219,11350580,월계3동,451,1.17,385.4700854700855,63,388,0.13968957871396895
220,11710680,잠실3동,746,1.49,500.6711409395973,121,625,0.16219839142091153
221,11710610,삼전동,954,0.95,1004.2105263157895,72,279,0.205128205
222,11680510,신사동(강남구),1888,1.89,998.941798941799,164,755,0.178454842
223,11290630,정릉2동,457,1.17,390.59829059829065,16,38,0.296296296
224,11215750,중곡2동,863,0.55,1569.090909090909,23,129,0.151315789
225,11305603,번2동,239,0.95,251.57894736842107,3,19,0.136363636
226,11620745,삼성동,437,2.66,164.28571428571428,12,58,0.171428571
227,11560650,신길3동,311,0.52,598.0769230769231,9,50,0.152542373
228,11740570,암사1동,1024,1.02,1003.9215686274509,21,166,0.112299465
229,11230600,답십리1동,582,0.81,718.5185185185185,19,108,0.149606299
230,11260680,신내1동,687,2.56,268.359375,43,159,0.212871287
231,11440555,아현동,533,0.76,701.3157894736842,7,36,0.162790698
232,11140670,황학동,518,0.33,1569.6969696969695,8,34,0.19047619
233,11530595,가리봉동,437,0.4,1092.5,25,269,0.085034014
234,11230610,답십리2동,726,0.85,854.1176470588235,23,101,0.185483871
235,11545690,시흥3동,549,1.07,513.0841121495326,27,108,0.2
236,11530800,항동,166,1.4,118.57142857142858,39,127,0.23493975903614459
237,11620575,행운동,645,0.72,895.8333333333334,12,78,0.133333333
238,11650620,방배3동,547,2.4,227.91666666666669,7,29,0.194444444
239,11215730,군자동,964,0.74,1302.7027027027027,84,353,0.19221968
240,11140605,을지로동,1581,0.6,2635.0,63,450,0.122807018
241,11710540,마천1동,331,0.58,570.6896551724138,19,128,0.129251701
242,11170510,후암동,368,0.86,427.90697674418607,26,160,0.139784946
243,11545680,시흥2동,256,1.26,203.17460317460316,5,23,0.178571429
244,11380632,신사2동,312,1,312.0,12,72,0.142857143
245,11710720,잠실7동,125,0.6,208.33333333333334,15,110,0.12
246,11740580,암사2동,353,1.18,299.1525423728814,43,106,0.288590604
247,11650580,반포3동,728,1.28,568.75,96,632,0.13186813186813187
248,11110680,창신2동,202,0.26,776.9230769230769,5,42,0.106382979
249,11440690,망원1동,721,1.13,638.0530973451328,27,323,0.077142857
250,11530720,고척1동,712,1.16,613.7931034482759,45,96,0.319148936
251,11530730,고척2동,660,1.02,647.0588235294117,30,219,0.120481928
252,11170530,남영동,786,1.19,660.5042016806723,73,346,0.174224344
253,11500593,화곡8동,545,0.53,1028.3018867924527,16,54,0.228571429
254,11560585,도림동,387,0.89,434.8314606741573,35,126,0.217391304
255,11440730,성산2동,782,2.07,377.7777777777778,51,111,0.314814815
256,11215740,중곡1동,712,0.62,1148.3870967741937,10,69,0.126582278
257,11110515,청운효자동,481,2.57,187.15953307392996,8,119,0.062992126
258,11110550,부암동,390,2.27,171.80616740088107,11,89,0.11
259,11710510,풍납1동,324,0.77,420.7792207792208,1,2,0.333333333
260,11500603,가양1동,2334,4.7,496.59574468085106,278,921,0.231859883
261,11545670,시흥1동,1346,1.71,787.1345029239766,60,270,0.181818182
262,11320521,도봉1동,577,8.72,66.16972477064219,46,270,0.14556962
263,11500540,화곡1동,1306,1.12,1166.0714285714284,147,639,0.187022901
264,11650600,방배1동,852,0.7,1217.142857142857,80,219,0.267558528
265,11560610,양평1동,638,0.88,725.0,28,114,0.197183099
266,11380590,응암2동,350,0.78,448.71794871794873,73,277,0.20857142857142857
267,11560700,대림1동,259,0.49,528.5714285714286,21,84,0.2
268,11380551,갈현1동,792,0.97,816.4948453608248,23,149,0.13372093
269,11710520,풍납2동,435,1.59,273.58490566037733,70,365,0.16091954022988506
270,11200670,성수2가1동,763,1.17,652.1367521367522,41,317,0.11452514
271,11140625,다산동,546,0.51,1070.5882352941176,62,224,0.216783217
272,11350595,공릉1동,1194,1.41,846.8085106382979,63,338,0.157107232
273,11215820,자양1동,718,0.57,1259.6491228070176,37,189,0.163716814
274,11545640,독산4동,468,0.59,793.2203389830509,23,128,0.152317881
275,11170650,이태원1동,1078,0.57,1891.2280701754387,60,634,0.086455331
276,11410710,북가좌1동,226,0.55,410.9090909090909,4,26,0.133333333
277,11170555,청파동,620,0.9,688.8888888888889,63,276,0.185840708
278,11170700,보광동,444,0.71,625.3521126760563,16,78,0.170212766
279,11140570,필동,863,1.14,757.0175438596492,74,410,0.152892562
280,11260630,묵2동,560,0.67,835.820895522388,17,135,0.111842105
281,11530560,구로5동,1164,1.03,1130.0970873786407,156,514,0.232835821
282,11305660,인수동,562,3.28,171.34146341463415,31,136,0.185628743
283,11350695,상계6.7동,711,1.11,640.5405405405405,17,29,0.369565217
284,11680590,삼성2동,1245,1.24,1004.0322580645161,377,1370,0.215798512
285,11320680,쌍문3동,566,0.5,1132.0,7,30,0.189189189
286,11560630,신길1동,416,0.66,630.3030303030303,36,171,0.173913043
287,11500530,등촌2동,326,0.92,354.3478260869565,6,17,0.260869565
288,11620625,인헌동,599,1.08,554.6296296296296,15,68,0.180722892
289,11350570,월계2동,319,1.94,164.43298969072166,4,14,0.222222222
290,11470620,신정1동,551,0.7,787.1428571428572,35,162,0.177664975
291,11710550,마천2동,534,0.89,600.0,16,56,0.222222222
292,11200645,옥수동,517,1.94,266.49484536082474,17,57,0.22972973
293,11650652,양재2동,1637,7.58,215.96306068601584,138,598,0.1875
294,11200540,마장동,697,1.05,663.8095238095237,19,93,0.169642857
295,11140680,중림동,403,0.48,839.5833333333334,27,136,0.165644172
296,11620615,중앙동,441,0.39,1130.7692307692307,29,119,0.195945946
297,11470570,신월2동,340,0.61,557.3770491803278,7,35,0.166666667
298,11230650,장안1동,1550,1.25,1240.0,97,489,0.16552901
299,11380631,신사1동,520,0.84,619.047619047619,36,85,0.297520661
300,11410615,연희동,1042,3.05,341.6393442622951,48,373,0.114014252
301,11410690,남가좌1동,255,0.51,500.0,3,21,0.125
302,11290810,석관동,933,1.73,539.306358381503,53,238,0.182130584
303,11650550,반포본동,375,1.01,371.28712871287127,5,29,0.147058824
304,11290580,돈암1동,164,0.49,334.6938775510204,23,141,0.1402439024390244
305,11200660,성수1가2동,866,0.89,973.0337078651685,50,348,0.125628141
306,11440740,상암동,1010,8.4,120.23809523809523,132,283,0.318072289
307,11320513,창3동,457,0.67,682.0895522388059,18,119,0.131386861
308,11440720,성산1동,561,0.8,701.25,40,199,0.167364017
309,11305615,수유1동,634,1.67,379.64071856287427,19,126,0.131034483
310,11590651,사당5동,270,0.57,473.68421052631584,6,15,0.285714286
311,11470610,신월6동,234,0.41,570.7317073170732,1,23,0.041666667
312,11440700,망원2동,530,0.67,791.044776119403,37,175,0.174528302
313,11710590,송파2동,414,0.53,781.132075471698,6,21,0.222222222
314,11380600,응암3동,903,0.63,1433.3333333333333,29,184,0.136150235
315,11215860,구의2동,765,1.39,550.3597122302159,5,38,0.11627907
316,11380640,증산동,406,0.81,501.2345679012345,13,103,0.112068966
